tranche,zincid,SMILES,pIC50_pred,knn_similarity,reliability
H25P130,ZINCpj00001BNoKr,C[C@@H](CN(C)C(=O)c1cc2n(n1)CCCC2)NC(=O)[C@@H]1CC[C@H]1C#N,6.273060087902348,0.21835205,Low
H22P210,ZINCmr00000mxbzy,CCOC(=O)C1=C(C)N(C)C(=O)N(C)[C@H]1c1cc(CC)no1,6.2730506819712115,0.25077018,Low
H25M000,ZINCp500000kR9lb,Cc1c(Br)c(C(=O)NC[C@@H]2C[C@@H]2NC(=O)Cn2nnnc2C)nn1C,6.273010938660003,0.2105572,Low
H25M000,ZINCp500000GasKn,Cn1cc(C(=O)NCC2(NC(=O)CP(C)(C)=O)CC2)cc1S(N)(=O)=O,6.272998631565249,0.2258364,Low
H25P300,ZINCpA00000qDHwx,C[C@H](NC(=O)[C@H]1CCN(Cc2ccc(Br)cc2F)C1)c1cncnc1,6.2729803856611035,0.264534,Low
H23P040,ZINCna00000ReXFw,Cc1ccc(C(=O)N[C@@H]2CCN(C)C2=O)cc1N1CCNC1=O,6.272835023053741,0.3722335,High
H21P240,ZINClu00000sB1kB,Cc1c(C(=O)OC[C@@H](C)CF)nnn1-c1ccccc1F,6.27280629625937,0.25271297,Low
H19P230,ZINCjt00000eQJLD,Cc1ccc2[nH]c(=N[C@H]3C[C@@H]([C@H](F)CO)C3)[nH]c2c1,6.27279291892938,0.20925076,Low
H19P230,ZINCjt00000eQJLC,Cc1ccc2[nH]c(=N[C@H]3C[C@@H]([C@@H](F)CO)C3)[nH]c2c1,6.27279291892938,0.20925076,Low
H22M000,ZINCm50000008y3a,Cc1noc(CCNC(=O)C(=O)N2CC(OCC(F)F)C2)n1,6.272783262860513,0.23906314,Low
H25P210,ZINCpr00000m9ZwG,C=C=CCC(=O)N[C@]1(C(=O)NCCCn2cc(C)cn2)CCC[C@H]1C,6.272754625822033,0.22518763,Low
H24P090,ZINCof000011tIN3,C[C@H]1CCCn2nc(C(=O)NC3(c4nc[nH]n4)CCNCC3)cc21,6.272751499848162,0.23714575,Low
H25M000,ZINCp500000lsfjp,Cn1nc(C(=O)N[C@@H]2C[C@@]3(NC(=O)[C@H]4CCCO4)CO[C@@H]2C3)cc1F,6.272732039237505,0.2505889,Low
H23P140,ZINCnk00000luPRN,CCc1cc(C(=O)NC2(CCNC(=O)CC(F)F)CC2)n(C)n1,6.272727990534346,0.24073367,Low
H25P080,ZINCpe00000SODnb,Cc1nccn1CC(=O)N[C@@H]1CN(Cc2ccc(F)c(F)c2)C[C@H]1O,6.272723980880732,0.2714011,Low
H21P250,ZINClv00000ffd5r,O=C(N[C@H]1CC[C@H](NC(=O)C2CSC2)C1)c1cc(Cl)cs1,6.272716869866726,0.25018308,Low
H24P330,ZINCoD00000IZDGo,Cc1sc(CNC(=O)N[C@H]2C(=O)N(C)Cc3ccccc32)cc1Br,6.272707012090101,0.27667794,Low
H23P070,ZINCnd000005TzIE,Cc1scnc1C(=O)N[C@H]1CCN(c2cc(F)ncn2)C[C@H]1O,6.272692739236377,0.23130703,Low
H25P290,ZINCpz00000613lN,Cc1ccc(Cl)cc1C(=O)N[C@@H]1CCN(C(=O)CCCCO)[C@H](C)C1,6.272652592613185,0.28279954,Low
H25P250,ZINCpv000009bIgq,Cc1ccc(CC(=O)N[C@H]2C[C@H]2CNC(=O)CCC(F)(F)F)c(Cl)n1,6.272633095412767,0.23125088,Low
H25P310,ZINCpB00000bslsd,CSc1ccc(C(=O)NC[C@@H]2C[C@H]2NC(=O)CCOC(C)C)c(Cl)c1,6.272548656135339,0.22595188,Low
H24P220,ZINCos000008A156,C[C@@H](CC1CN(C(=O)C(C)(C)O)C1)NC(=O)c1cc(F)cc(Cl)c1,6.272513803506935,0.24214311,Low
H25P060,ZINCpc000015Ldwn,CC(C)(O)c1cc(C(=O)NC[C@H](CO)NC(=O)CCC2CCC2)no1,6.272501587631852,0.25252038,Low
H24P210,ZINCor00000sPNNx,Cc1ccc(CCNC(=O)CC[C@H]2C[C@H](NC(=O)C(C)(C)O)C2)s1,6.272496779680942,0.24257389,Low
H25P170,ZINCpn00001XUwFu,CN(C(=O)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1)S(C)(=O)=O,6.272468542027567,0.34905612,High
H23P230,ZINCnt000008D2uT,C=C=C[C@H](C)C(=O)N1CC[C@H](NC(=O)c2ccc(Cl)cc2O)C1,6.272413826328245,0.30406797,High
